CustomerID,Customer_Segment,Action_Priority,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,AvgOrderValue,PurchaseFrequency,CustomerLifespanDays,AvgDaysBetweenOrders,UniqueProducts,TotalQuantity,Cohort_Year,Cohort_Month,FirstPurchaseDate,LastPurchaseDate
13798,VIP Customers,1,2,54,35316.61,5,5,5,15,654.01,0.149171,362,6.83,112,22646,2010,12,2010-12-02 17:24:00.000,2011-11-28 12:19:00.000
16422,VIP Customers,1,8,51,34684.4,5,5,5,15,680.09,0.144476,353,7.06,68,33704,2010,12,2010-12-05 15:35:00.000,2011-11-22 14:00:00.000
16013,VIP Customers,1,9,45,34486.88,5,5,5,15,766.38,0.127119,354,8.05,28,14356,2010,12,2010-12-03 13:09:00.000,2011-11-21 12:21:00.000
15838,VIP Customers,1,2,19,33643.08,5,5,5,15,1770.69,0.053221,357,19.83,54,18368,2010,12,2010-12-07 11:26:00.000,2011-11-28 14:00:00.000
12748,VIP Customers,1,1,200,32051.06,5,5,5,15,160.26,0.549451,364,1.83,1719,24615,2010,12,2010-12-01 12:48:00.000,2011-11-29 18:14:00.000
17404,VIP Customers,1,16,14,31668.82,4,5,5,14,2262.06,0.041667,336,25.85,111,32708,2010,12,2010-12-14 13:28:00.000,2011-11-14 08:22:00.000
14680,VIP Customers,1,16,16,28754.11,4,5,5,14,1797.13,0.046110,347,23.13,73,13476,2010,12,2010-12-03 12:05:00.000,2011-11-14 16:59:00.000
13081,VIP Customers,1,2,11,28337.38,5,5,5,15,2576.13,0.030471,361,36.10,503,19068,2010,12,2010-12-03 17:20:00.000,2011-11-28 10:54:00.000
13408,VIP Customers,1,2,59,26708.42,5,5,5,15,452.69,0.162534,363,6.26,229,15275,2010,12,2010-12-01 10:39:00.000,2011-11-28 13:25:00.000
13098,VIP Customers,1,0,25,26516.68,5,5,5,15,1060.67,0.080906,309,12.88,153,14633,2011,1,2011-01-26 13:46:00.000,2011-11-30 10:18:00.000
17389,VIP Customers,1,5,31,25956.9,5,5,5,15,837.32,0.097484,318,10.60,45,6242,2011,1,2011-01-12 15:48:00.000,2011-11-25 13:59:00.000
16333,VIP Customers,1,27,20,25079.6,4,5,5,14,1253.98,0.072993,274,14.42,9,30776,2011,2,2011-02-03 10:50:00.000,2011-11-03 15:47:00.000
17857,VIP Customers,1,8,21,23899.44,5,5,5,15,1138.07,0.060172,349,17.45,19,16777,2010,12,2010-12-09 11:35:00.000,2011-11-22 15:22:00.000
13777,VIP Customers,1,15,30,23460.41,4,5,5,14,782.01,0.085714,350,12.07,36,11534,2010,12,2010-12-01 16:01:00.000,2011-11-15 09:42:00.000
12753,VIP Customers,1,13,6,21429.39,4,5,5,14,3571.56,0.017595,341,68.20,132,11421,2010,12,2010-12-12 11:44:00.000,2011-11-17 10:52:00.000
17381,VIP Customers,1,15,28,19967.45,4,5,5,14,713.12,0.080229,349,12.93,40,25289,2010,12,2010-12-02 12:58:00.000,2011-11-15 15:49:00.000
15039,VIP Customers,1,0,47,19766.59,5,5,5,15,420.57,0.130556,360,7.83,408,9131,2010,12,2010-12-06 11:26:00.000,2011-11-30 11:31:00.000
17675,VIP Customers,1,9,29,19124.7,5,5,5,15,659.47,0.082857,350,12.50,232,7838,2010,12,2010-12-07 13:22:00.000,2011-11-21 08:31:00.000
12731,VIP Customers,1,14,12,18895.91,4,5,5,14,1574.66,0.035088,342,31.09,109,8437,2010,12,2010-12-10 10:56:00.000,2011-11-16 11:59:00.000
12678,VIP Customers,1,33,12,17628.46,3,5,5,13,1469.04,0.038462,312,28.36,105,10923,2010,12,2010-12-21 11:00:00.000,2011-10-28 13:04:00.000
12471,VIP Customers,1,1,29,17550.14,5,5,5,15,605.18,0.081690,355,12.68,150,7310,2010,12,2010-12-10 09:35:00.000,2011-11-29 13:01:00.000
16210,VIP Customers,1,0,17,17486.9,5,5,5,15,1028.64,0.046575,365,22.81,70,6503,2010,12,2010-12-01 12:27:00.000,2011-11-30 10:54:00.000
12901,VIP Customers,1,1,27,16874.54,5,5,5,15,624.98,0.103448,261,10.04,30,21875,2011,3,2011-03-14 10:41:00.000,2011-11-29 14:08:00.000
17428,VIP Customers,1,13,27,16841.25,4,5,5,14,623.75,0.077810,347,13.35,252,9418,2010,12,2010-12-06 09:37:00.000,2011-11-17 13:46:00.000
15159,VIP Customers,1,9,27,16806.22,5,5,5,15,622.45,0.078488,344,13.23,343,10358,2010,12,2010-12-13 15:44:00.000,2011-11-21 14:24:00.000
14031,VIP Customers,1,12,18,16779.74,4,5,5,14,932.21,0.051136,352,20.71,118,5642,2010,12,2010-12-02 16:34:00.000,2011-11-18 17:06:00.000
13881,VIP Customers,1,2,19,16590.4,5,5,5,15,873.18,0.063123,301,16.72,72,9782,2011,2,2011-02-01 10:14:00.000,2011-11-28 15:10:00.000
12921,VIP Customers,1,0,37,16587.09,5,5,5,15,448.30,0.101370,365,10.14,233,9526,2010,12,2010-12-01 15:06:00.000,2011-11-30 16:22:00.000
13767,VIP Customers,1,16,36,16334.38,4,5,5,14,453.73,0.103152,349,9.97,55,6904,2010,12,2010-12-01 10:47:00.000,2011-11-14 12:22:00.000
14607,VIP Customers,1,6,14,16209.5,5,5,5,15,1157.82,0.056680,247,19.00,38,11526,2011,3,2011-03-23 15:22:00.000,2011-11-24 10:35:00.000
16839,VIP Customers,1,13,32,15753.87,4,5,5,14,492.31,0.091954,348,11.23,113,8375,2010,12,2010-12-05 11:15:00.000,2011-11-17 16:43:00.000
12744,VIP Customers,1,42,7,15675.12,3,5,5,13,2239.30,0.026119,268,44.67,178,5237,2011,1,2011-01-25 13:26:00.000,2011-10-19 11:18:00.000
17677,VIP Customers,1,19,28,15641.22,4,5,5,14,558.62,0.082111,341,12.63,174,9316,2010,12,2010-12-06 08:42:00.000,2011-11-11 12:53:00.000
15189,VIP Customers,1,1,38,15030.73,5,5,5,15,395.55,0.117647,323,8.73,79,5659,2011,1,2011-01-11 12:29:00.000,2011-11-29 14:57:00.000
15513,VIP Customers,1,24,19,14758.22,4,5,5,14,776.75,0.055718,341,18.94,183,5709,2010,12,2010-12-01 11:22:00.000,2011-11-06 14:36:00.000
14866,VIP Customers,1,1,12,14389.9,5,5,5,15,1199.16,0.033613,357,32.45,30,6752,2010,12,2010-12-08 14:58:00.000,2011-11-29 11:45:00.000
12681,VIP Customers,1,5,22,13787.54,5,5,5,15,626.71,0.062147,354,16.86,267,7536,2010,12,2010-12-07 10:08:00.000,2011-11-25 11:33:00.000
16705,VIP Customers,1,2,19,13784.47,5,5,5,15,725.50,0.054598,348,19.33,133,5416,2010,12,2010-12-16 10:51:00.000,2011-11-28 11:45:00.000
16133,VIP Customers,1,7,30,13651.92,5,5,5,15,455.06,0.099010,303,10.45,182,7859,2011,1,2011-01-25 15:55:00.000,2011-11-23 09:02:00.000
14051,VIP Customers,1,8,21,13647.19,5,5,5,15,649.87,0.060000,350,17.50,52,3234,2010,12,2010-12-08 12:49:00.000,2011-11-22 16:31:00.000
12540,VIP Customers,1,10,17,13400.24,5,5,5,15,788.25,0.049563,343,21.44,277,6685,2010,12,2010-12-13 09:39:00.000,2011-11-20 11:31:00.000
12477,VIP Customers,1,13,6,13219.74,4,5,5,14,2203.29,0.021429,280,56.00,191,3653,2011,2,2011-02-11 12:45:00.000,2011-11-17 09:51:00.000
15856,VIP Customers,1,36,21,13082.86,3,5,5,13,622.99,0.065421,321,16.05,267,9007,2010,12,2010-12-09 13:34:00.000,2011-10-25 17:29:00.000
16525,VIP Customers,1,7,25,12705.73,5,5,5,15,508.23,0.071225,351,14.63,73,7113,2010,12,2010-12-08 11:31:00.000,2011-11-23 11:49:00.000
14258,VIP Customers,1,0,9,12669.98,5,5,5,15,1407.78,0.027356,329,41.13,58,7100,2011,1,2011-01-06 12:18:00.000,2011-11-30 15:27:00.000
12536,VIP Customers,1,34,3,12601.83,3,4,5,12,4200.61,0.176471,17,8.50,260,2803,2011,10,2011-10-11 14:52:00.000,2011-10-27 14:20:00.000
12621,VIP Customers,1,14,19,12501.47,4,5,5,14,657.97,0.055394,343,19.06,223,6448,2010,12,2010-12-09 10:16:00.000,2011-11-16 08:37:00.000
15498,VIP Customers,1,8,26,12451.46,5,5,5,15,478.90,0.074286,350,14.00,335,5655,2010,12,2010-12-08 12:29:00.000,2011-11-22 13:40:00.000
17340,VIP Customers,1,20,11,12353.29,4,5,5,14,1123.03,0.032544,338,33.80,229,5967,2010,12,2010-12-08 15:56:00.000,2011-11-10 10:45:00.000
17735,VIP Customers,1,28,18,12216.42,4,5,5,14,678.69,0.054381,331,19.47,298,7423,2010,12,2010-12-07 10:32:00.000,2011-11-02 14:52:00.000
12557,VIP Customers,1,7,5,11990.96,5,5,5,15,2398.19,0.014045,356,89.00,15,4384,2010,12,2010-12-03 12:20:00.000,2011-11-23 16:59:00.000
13113,VIP Customers,1,5,23,11906.76,5,5,5,15,517.69,0.065156,353,16.05,95,2979,2010,12,2010-12-08 13:21:00.000,2011-11-25 10:22:00.000
13078,VIP Customers,1,1,25,11788.86,5,5,5,15,471.55,0.070028,357,14.88,95,5078,2010,12,2010-12-08 09:07:00.000,2011-11-29 16:31:00.000
14606,VIP Customers,1,0,91,11734.31,5,5,5,15,128.95,0.249315,365,4.06,801,6019,2010,12,2010-12-01 16:57:00.000,2011-11-30 14:00:00.000
12682,VIP Customers,1,0,30,11643.19,5,5,5,15,388.11,0.082645,363,12.52,194,5252,2010,12,2010-12-03 13:59:00.000,2011-11-30 14:16:00.000
12939,VIP Customers,1,55,8,11581.8,3,5,5,13,1447.72,0.029520,271,38.71,21,4876,2011,1,2011-01-09 11:20:00.000,2011-10-06 14:33:00.000
15125,VIP Customers,1,16,15,11528.48,4,5,5,14,768.57,0.060976,246,17.57,102,6193,2011,3,2011-03-14 09:59:00.000,2011-11-14 13:57:00.000
15640,VIP Customers,1,7,14,11229.63,5,5,5,15,802.12,0.039216,357,27.46,235,5974,2010,12,2010-12-02 15:40:00.000,2011-11-23 14:36:00.000
12971,VIP Customers,1,1,84,11028.01,5,5,5,15,131.29,0.231405,363,4.37,93,9233,2010,12,2010-12-02 16:42:00.000,2011-11-29 17:03:00.000
15482,VIP Customers,1,6,12,10879.76,5,5,5,15,906.65,0.034884,344,31.27,46,5004,2010,12,2010-12-16 10:08:00.000,2011-11-24 10:46:00.000
14194,VIP Customers,1,9,20,10865.42,5,5,5,15,543.27,0.068729,291,15.32,267,5616,2011,2,2011-02-04 14:51:00.000,2011-11-21 10:35:00.000
17107,VIP Customers,1,24,6,10797.48,4,5,5,14,1799.58,0.024390,246,49.20,269,4826,2011,3,2011-03-06 15:17:00.000,2011-11-06 14:14:00.000
12433,VIP Customers,1,0,5,10737.18,5,5,5,15,2147.44,0.013699,365,91.25,219,8844,2010,12,2010-12-01 13:24:00.000,2011-11-30 14:05:00.000
13340,VIP Customers,1,36,7,10736.48,3,5,5,13,1533.78,0.030172,232,38.67,128,5770,2011,3,2011-03-08 11:39:00.000,2011-10-25 13:15:00.000
17139,VIP Customers,1,6,12,10650.77,5,5,5,15,887.56,0.043796,274,24.91,309,5176,2011,2,2011-02-24 09:32:00.000,2011-11-24 10:12:00.000
13319,VIP Customers,1,8,25,10536.45,5,5,5,15,421.46,0.071633,349,14.54,202,4596,2010,12,2010-12-09 10:04:00.000,2011-11-22 16:39:00.000
17865,VIP Customers,1,21,20,10526.32,4,5,5,14,526.32,0.059701,335,17.63,191,5757,2010,12,2010-12-10 14:53:00.000,2011-11-09 12:08:00.000
15251,VIP Customers,1,0,11,10484.99,5,5,5,15,953.18,0.047210,233,23.30,97,6171,2011,4,2011-04-12 10:38:00.000,2011-11-30 15:02:00.000
14062,VIP Customers,1,0,12,10464.85,5,5,5,15,872.07,0.033708,356,32.36,60,5593,2010,12,2010-12-10 15:56:00.000,2011-11-30 10:04:00.000
15615,VIP Customers,1,1,23,10399.74,5,5,5,15,452.16,0.065714,350,15.91,184,5508,2010,12,2010-12-15 16:21:00.000,2011-11-29 14:42:00.000
15502,VIP Customers,1,6,12,10232.71,5,5,5,15,852.73,0.033803,355,32.27,164,4234,2010,12,2010-12-05 15:40:00.000,2011-11-24 12:48:00.000
14895,VIP Customers,1,20,17,10213.09,4,5,5,14,600.77,0.064885,262,16.38,267,4396,2011,2,2011-02-22 13:08:00.000,2011-11-10 10:29:00.000
16843,VIP Customers,1,33,16,10196.57,3,5,5,13,637.29,0.055944,286,19.07,226,10159,2011,1,2011-01-16 16:10:00.000,2011-10-28 09:06:00.000
17581,VIP Customers,1,24,22,10040.56,4,5,5,14,456.39,0.064706,340,16.19,223,5399,2010,12,2010-12-02 14:47:00.000,2011-11-06 13:02:00.000
17706,VIP Customers,1,35,16,9728.65,3,5,5,13,608.04,0.049536,323,21.53,265,3577,2010,12,2010-12-08 11:02:00.000,2011-10-26 13:31:00.000
12709,VIP Customers,1,6,15,9706.52,5,5,5,15,647.10,0.042614,352,25.14,93,3912,2010,12,2010-12-08 09:49:00.000,2011-11-24 15:38:00.000
16779,VIP Customers,1,5,20,9654.66,5,5,5,15,482.73,0.056657,353,18.58,156,4909,2010,12,2010-12-08 09:56:00.000,2011-11-25 09:07:00.000
14733,VIP Customers,1,7,12,9585.91,5,5,5,15,798.83,0.034091,352,32.00,102,3764,2010,12,2010-12-07 11:30:00.000,2011-11-23 15:39:00.000
12567,VIP Customers,1,13,10,9401.28,4,5,5,14,940.13,0.028736,348,38.67,323,4305,2010,12,2010-12-05 11:57:00.000,2011-11-17 11:02:00.000
13001,VIP Customers,1,13,12,9194.96,4,5,5,14,766.25,0.039344,305,27.73,163,5185,2011,1,2011-01-17 12:45:00.000,2011-11-17 14:17:00.000
13199,VIP Customers,1,1,35,9175.3,5,5,5,15,262.15,0.098039,357,10.50,45,5846,2010,12,2010-12-08 10:51:00.000,2011-11-29 14:00:00.000
14667,VIP Customers,1,1,25,9175.04,5,5,5,15,367.00,0.069638,359,14.96,354,5319,2010,12,2010-12-06 13:13:00.000,2011-11-29 11:30:00.000
13458,VIP Customers,1,14,13,9062.05,4,5,5,14,697.08,0.038576,337,28.08,233,5230,2010,12,2010-12-15 12:05:00.000,2011-11-16 15:10:00.000
12451,VIP Customers,1,1,5,9035.52,5,5,5,15,1807.10,0.015873,315,78.75,265,6575,2011,1,2011-01-19 09:05:00.000,2011-11-29 08:40:00.000
13488,VIP Customers,1,8,13,8968.31,5,5,5,15,689.87,0.037037,351,29.25,271,4518,2010,12,2010-12-07 13:01:00.000,2011-11-22 14:41:00.000
15078,VIP Customers,1,2,29,8920.03,5,5,5,15,307.59,0.081006,358,12.79,83,4491,2010,12,2010-12-06 12:38:00.000,2011-11-28 09:40:00.000
17306,VIP Customers,1,1,19,8631.31,5,5,5,15,454.28,0.055233,344,19.11,13,11491,2010,12,2010-12-21 13:34:00.000,2011-11-29 12:14:00.000
16656,VIP Customers,1,13,15,8625.8,4,5,5,14,575.05,0.043732,343,24.50,14,8894,2010,12,2010-12-10 11:23:00.000,2011-11-17 14:43:00.000
14367,VIP Customers,1,12,15,8594.29,5,5,5,15,572.95,0.058594,256,18.29,265,4093,2011,3,2011-03-08 14:12:00.000,2011-11-18 12:09:00.000
16523,VIP Customers,1,6,19,8562.85,5,5,5,15,450.68,0.063123,301,16.72,145,3777,2011,1,2011-01-28 12:06:00.000,2011-11-24 13:53:00.000
13090,VIP Customers,1,10,13,8555.44,5,5,5,15,658.11,0.036723,354,29.50,97,2185,2010,12,2010-12-02 07:48:00.000,2011-11-20 12:00:00.000
18092,VIP Customers,1,29,10,8506.42,4,5,5,14,850.64,0.030488,328,36.44,28,4100,2010,12,2010-12-09 10:00:00.000,2011-11-01 10:56:00.000
18139,VIP Customers,1,8,6,8438.34,5,5,5,15,1406.39,3.000000,2,0.40,35,5557,2011,11,2011-11-21 14:06:00.000,2011-11-22 10:44:00.000
16033,VIP Customers,1,24,19,8356.95,4,5,5,14,439.84,0.056380,337,18.72,523,3323,2010,12,2010-12-05 10:36:00.000,2011-11-06 13:53:00.000
14936,VIP Customers,1,24,8,8137.02,4,5,5,14,1017.13,0.032922,243,34.71,210,4085,2011,3,2011-03-09 11:53:00.000,2011-11-06 10:30:00.000
14952,VIP Customers,1,50,11,8099.49,3,5,5,13,736.32,0.035948,306,30.60,117,3355,2010,12,2010-12-10 12:48:00.000,2011-10-11 10:33:00.000
17017,VIP Customers,1,0,19,8063.66,5,5,5,15,424.40,0.052198,364,20.22,88,6249,2010,12,2010-12-02 10:17:00.000,2011-11-30 09:18:00.000
12428,VIP Customers,1,16,9,7956.46,4,5,5,14,884.05,0.034749,259,32.38,258,3536,2011,3,2011-03-01 09:33:00.000,2011-11-14 08:22:00.000
14849,VIP Customers,1,12,25,7930.54,5,5,5,15,317.22,0.070822,353,14.71,159,5694,2010,12,2010-12-01 12:22:00.000,2011-11-18 10:58:00.000
13969,VIP Customers,1,7,16,7882.27,5,5,5,15,492.64,0.045714,350,23.33,314,3887,2010,12,2010-12-09 19:32:00.000,2011-11-23 08:43:00.000
14527,VIP Customers,1,3,53,7875.18000000001,5,5,5,15,148.59,0.148045,358,6.88,322,1965,2010,12,2010-12-05 13:17:00.000,2011-11-27 12:01:00.000
16672,VIP Customers,1,26,19,7864.94,4,5,5,14,413.94,0.081897,232,12.89,22,2760,2011,3,2011-03-18 10:15:00.000,2011-11-04 09:44:00.000
12757,VIP Customers,1,6,13,7834.65,5,5,5,15,602.67,0.065990,197,16.42,237,2395,2011,5,2011-05-12 19:01:00.000,2011-11-24 12:30:00.000
13854,VIP Customers,1,15,24,7807.24,4,5,5,14,325.30,0.070175,342,14.87,37,2092,2010,12,2010-12-09 10:48:00.000,2011-11-15 16:34:00.000
13629,VIP Customers,1,14,11,7792.36,4,5,5,14,708.40,0.034810,316,31.60,28,4372,2011,1,2011-01-05 12:09:00.000,2011-11-16 13:21:00.000
16558,VIP Customers,1,13,19,7739.52,4,5,5,14,407.34,0.055072,345,19.17,248,4881,2010,12,2010-12-08 12:01:00.000,2011-11-17 17:30:00.000
14056,VIP Customers,1,6,22,7727.69,5,5,5,15,351.26,0.081481,270,12.86,318,4062,2011,2,2011-02-28 15:19:00.000,2011-11-24 13:25:00.000
12683,VIP Customers,1,41,13,7679.09,3,5,5,13,590.70,0.041139,316,26.33,173,4510,2010,12,2010-12-09 10:37:00.000,2011-10-20 14:30:00.000
15044,VIP Customers,1,10,17,7634.73,5,5,5,15,449.10,0.049419,344,21.50,233,2785,2010,12,2010-12-12 14:27:00.000,2011-11-20 13:20:00.000
17243,VIP Customers,1,5,24,7604.47,5,5,5,15,316.85,0.067416,356,15.48,175,2969,2010,12,2010-12-05 10:03:00.000,2011-11-25 12:29:00.000
14796,VIP Customers,1,13,16,7579.71,4,5,5,14,473.73,0.046377,345,23.00,371,5645,2010,12,2010-12-08 10:40:00.000,2011-11-17 13:30:00.000
18172,VIP Customers,1,5,20,7561.68,5,5,5,15,378.08,0.072464,276,14.53,100,3184,2011,2,2011-02-23 10:44:00.000,2011-11-25 11:12:00.000
15358,VIP Customers,1,26,20,7517.14,4,5,5,14,375.86,0.060423,331,17.42,285,6400,2010,12,2010-12-09 10:04:00.000,2011-11-04 13:44:00.000
17811,VIP Customers,1,2,37,7441.44,5,5,5,15,201.12,0.114551,323,8.97,354,3990,2011,1,2011-01-10 10:58:00.000,2011-11-28 14:26:00.000
15465,VIP Customers,1,10,18,7354.62,5,5,5,15,408.59,0.051282,351,20.65,43,1257,2010,12,2010-12-05 10:12:00.000,2011-11-20 10:11:00.000
17396,VIP Customers,1,30,8,7330.8,4,5,5,14,916.35,0.024024,333,47.57,24,2005,2010,12,2010-12-03 09:45:00.000,2011-10-31 14:12:00.000
12474,VIP Customers,1,8,18,7324.09,5,5,5,15,406.89,0.057508,313,18.41,253,4833,2011,1,2011-01-14 10:06:00.000,2011-11-22 14:39:00.000
13018,VIP Customers,1,7,28,7277.7,5,5,5,15,259.92,0.100000,280,10.37,313,5435,2011,2,2011-02-17 11:05:00.000,2011-11-23 13:28:00.000
18229,VIP Customers,1,2,20,7276.9,5,5,5,15,363.84,0.055096,363,19.11,66,2488,2010,12,2010-12-01 16:25:00.000,2011-11-28 09:48:00.000
16729,VIP Customers,1,29,21,7205.33,4,5,5,14,343.11,0.102941,204,10.20,234,5722,2011,4,2011-04-12 14:22:00.000,2011-11-01 14:29:00.000
13324,VIP Customers,1,27,10,7121.95,4,5,5,14,712.20,0.030769,325,36.11,25,5205,2010,12,2010-12-14 09:50:00.000,2011-11-03 16:28:00.000
13263,VIP Customers,1,2,33,7092.73000000001,5,5,5,15,214.93,0.104762,315,9.84,438,4569,2011,1,2011-01-18 16:31:00.000,2011-11-28 13:20:00.000
16923,VIP Customers,1,3,19,7069.08,5,5,5,15,372.06,0.054131,351,19.50,313,3344,2010,12,2010-12-12 11:06:00.000,2011-11-27 13:00:00.000
14961,VIP Customers,1,1,9,7044.68,5,5,5,15,782.74,0.025641,351,43.88,193,3708,2010,12,2010-12-14 11:38:00.000,2011-11-29 09:42:00.000
13985,VIP Customers,1,5,14,6912.57,5,5,5,15,493.75,0.055777,251,19.31,108,3371,2011,3,2011-03-20 13:48:00.000,2011-11-25 10:02:00.000
16187,VIP Customers,1,22,15,6911.44,4,5,5,14,460.76,0.059055,254,18.14,160,5048,2011,2,2011-02-28 13:34:00.000,2011-11-08 09:50:00.000
16713,VIP Customers,1,9,15,6910.78,5,5,5,15,460.72,0.042980,349,24.93,338,4271,2010,12,2010-12-08 13:01:00.000,2011-11-21 12:36:00.000
15194,VIP Customers,1,22,14,6909.89,4,5,5,14,493.56,0.041420,338,26.00,194,4945,2010,12,2010-12-06 15:00:00.000,2011-11-08 10:26:00.000
17416,VIP Customers,1,20,7,6893.42,4,5,5,14,984.77,0.027668,253,42.17,186,4302,2011,3,2011-03-03 13:45:00.000,2011-11-10 12:47:00.000
12705,VIP Customers,1,6,9,6868.29,5,5,5,15,763.14,0.026239,343,42.88,228,3997,2010,12,2010-12-17 15:58:00.000,2011-11-24 13:17:00.000
12476,VIP Customers,1,6,11,6816.42,5,5,5,15,619.67,0.031700,347,34.70,177,2408,2010,12,2010-12-13 14:39:00.000,2011-11-24 12:40:00.000
12830,VIP Customers,1,28,6,6814.64,4,5,5,14,1135.77,0.044444,135,27.00,13,9848,2011,6,2011-06-21 10:53:00.000,2011-11-02 11:54:00.000
12989,VIP Customers,1,12,13,6794.98,5,5,5,15,522.69,0.037791,344,28.67,18,2870,2010,12,2010-12-10 13:24:00.000,2011-11-18 11:47:00.000
15601,VIP Customers,1,2,14,6776.56,5,5,5,15,484.04,0.038674,362,27.85,230,4983,2010,12,2010-12-02 10:39:00.000,2011-11-28 15:15:00.000
16652,VIP Customers,1,49,7,6773.97,3,5,5,13,967.71,0.032407,216,36.00,74,3283,2011,3,2011-03-11 13:13:00.000,2011-10-12 09:38:00.000
16532,VIP Customers,1,8,3,6748.8,5,4,5,14,2249.60,0.009317,322,161.00,2,2016,2011,1,2011-01-05 12:37:00.000,2011-11-22 11:08:00.000
13576,VIP Customers,1,1,18,6717.34,5,5,5,15,373.19,0.049451,364,21.41,78,2646,2010,12,2010-12-01 17:24:00.000,2011-11-29 15:34:00.000
15249,VIP Customers,1,22,13,6688.46,4,5,5,14,514.50,0.057522,226,18.83,211,3577,2011,3,2011-03-28 12:49:00.000,2011-11-08 11:45:00.000
18109,VIP Customers,1,5,23,6636.41,5,5,5,15,288.54,0.064607,356,16.18,118,3869,2010,12,2010-12-05 10:58:00.000,2011-11-25 15:32:00.000
12626,VIP Customers,1,14,9,6620.48,4,5,5,14,735.61,0.029605,304,38.00,232,3453,2011,1,2011-01-17 11:01:00.000,2011-11-16 16:06:00.000
16182,VIP Customers,1,63,4,6617.65,3,4,5,12,1654.41,0.017937,223,74.33,17,3791,2011,2,2011-02-18 10:11:00.000,2011-09-28 13:23:00.000
12583,VIP Customers,1,9,14,6586.61,5,5,5,15,470.47,0.039326,356,27.38,110,4748,2010,12,2010-12-01 08:45:00.000,2011-11-21 11:16:00.000
